Fold,Horizon,AUC,PR-AUC,Brier,Recall,Precision
fold1,6m,0.9054584803756816,-0.16671247171554301,0.022369429031883853,0.15104166666666666,0.23770491803278687
fold1,12m,0.9166219933727742,-0.2318548465725472,0.03737648055220046,0.3902439024390244,0.22911694510739858
fold1,18m,0.9135710324924788,-0.25384998883362175,0.06095931153644116,0.6351351351351351,0.23707440100882723
fold1,24m,0.9014136276520178,-0.26374603001999997,0.0678627227028612,0.6352941176470588,0.24770642201834864
fold2,6m,0.9219875377511344,-0.23829560326917218,0.025401135687024845,0.3688212927756654,0.28362573099415206
fold2,12m,0.926308648095518,-0.2754411433575008,0.03589384401074498,0.5284810126582279,0.2764900662251656
fold2,18m,0.930194340340014,-0.32763243934190783,0.03802400168196335,0.552,0.32242990654205606
fold2,24m,0.930367456564526,-0.3481655916864359,0.03974941622643138,0.5625,0.3502994011976048
fold3,6m,0.9295278844350462,-0.2981609927805798,0.018803892843950756,0.07692307692307693,0.4406779661016949
fold3,12m,0.9261771807693417,-0.3445708189992575,0.027213128913247578,0.47480106100795755,0.3653061224489796
fold3,18m,0.9281740572480511,-0.3635093088625618,0.02754850800884399,0.473551637279597,0.38289205702647655
fold3,24m,0.8969826072053673,-0.2850927627772458,0.06595479483481502,0.6034063260340633,0.19076923076923077
